P avg [W];Q avg [VAr]
427332,6;295831,3
423926,2;297407,3
420964,4;291384,4
428104,9;291086,7
391512,4;270864,2
413706,8;282442,1
424227,1;280319,7
424356,4;277619,3
425792,9;277430
358345;239446,6
221456,2;177428
222939,4;181976,3
222840,6;181202,6
221500,2;180601,8
224441,7;179851,7
232141,1;181794,4
230256,1;180971
232521,8;182727,2
225802,8;179567,1
230916,6;182064,2
225545,2;183168,2
219461,4;185336,7
223897;185076
214408,2;179524,7
141812,1;135853,4
115656,8;120110,3
103488,4;110255,4
104313,4;113138,8
96670,77;107085,5
95916,59;105505,8
97225,52;106916,7
99121,09;109035,3
100792,6;110963,3
89820,87;106068,5
78373,58;99932,31
69876,72;89799,31
66051,41;84462,02
66396,72;84398,48
66118,18;84451,71
59279,64;80408,66
61199,79;82083,02
65794,98;84300,01
65078,64;85097,55
89443,18;96353,65
198572,6;146986,9
197756,3;146894,8
203271,5;151022,3
220859;159976,8
196643,3;144855,9
190852;140078,3
196218;143809,3
198327,5;146012,7
184575,9;139389,4
204208,1;151293,2
194290,5;145590,4
194712,9;150122,4
169354,7;136435,9
177279,5;137299,1
213699,3;156390,2
217459,7;159747,5
193807,6;147622,1
194372,4;148954,3
194977,5;149873,7
195493,9;149873,4
202787;149806,7
199545,6;148881,4
194779,6;145320,3
201195;149177
200582,3;140872,1
201815,8;142146,2
200113,8;146264,7
199922,9;146130,8
197459,2;144607,4
194085,4;140930,5
237395;172282,4
344734,6;259340,6
352267,5;262263,7
357792,2;265433,3
363865,8;270913,7
381756,8;282262,3
381780,1;282009,5
366881,5;271518
391583,1;273921,2
389037,5;275004,5
389088,3;277326,4
392145,8;272381,5
387150;268457,9
391431,4;268853
393166;273169,3
396595,9;274307,4
399017,9;273031,8
394922,1;269426,3
398805,7;267707,8
412907,7;272141,1
344229,8;234757,6
210371,7;166174,4
210549,2;166918,9
208218;167187,1
208541,6;168762,8
208774,3;168913,7
207615,5;168921,2
211127,3;168430,4
214989,6;166276,8
213279;165560
211309;166484,1
209317,3;166095,2
216049,6;175883,5
225052,3;178487,1
227670;178943,3
228615,7;178590,7
215880,6;174714,3
215592,1;178000
224889,6;181517,2
226891;178421,2
228075,5;177886,2
209402;174213,2
143720,1;135205,6
112705,9;111850
91594,15;89840,52
85421,75;85953,24
81242,24;85574,55
82978,94;87435,75
86516,09;88685,98
86800,13;88628,98
84674,16;88099,7
71305;81966,55
63889,14;79572,72
63170,55;81248,29
54876,58;77928,91
76361,2;89009,59
73580,09;87636,72
76569,52;90483,64
69951,77;87818,52
40463,19;71002,17
40785,44;71010,77
40588,95;71148,79
50987,16;77815,11
53532,97;78854,63
130222,9;111915
195716,3;139588
180926,3;131590,8
180796,3;131162,8
180680,2;131714,9
179919,4;132135,8
164404;121825,8
152981;114719,4
178998,5;129141,5
184757,3;132089,6
184175,3;132773,3
189415,7;137628,2
215263,1;158288,1
204237,8;150250,1
200741,9;143308,4
160710,7;119108,9
147580,1;113063,2
147338,9;114610
148042,2;114964,7
144674,5;113577,9
141354,3;110900,5
148491,3;115591,7
148158,3;115001,6
147804,8;114715,4
147702,1;114939,5
145300,4;113991,9
138916,3;108897,5
146236,6;114426,4
158166,6;121287,9
191007,6;140139,9
189987,7;139857
188147,5;139686
181604,2;136645,5
176220,1;134824,1
184852,8;139661,9
169582,2;129986,6
185285,4;138844,8
174343,3;135231,9
163676,2;128323,4
172083;132876,6
156344;122112,9
164423,6;127314,9
168000,1;130059,1
149005,9;116849,8
140813,7;109064,2
154210,3;117081
150677,6;114718,9
155759,4;118129,9
147444,8;114203,1
154663;118532,3
143654,7;111592,6
152003,4;114640,4
146631,8;109903,3
153895,6;114559,1
147267,7;111256,5
146600,3;111329,9
144886,1;109594,2
147436,4;112040,6
146807,5;111879,7
