Lista de Materiais - Componentes;;;
Descrição do Material;Dimensões;Quantidade (peças);Referência Fabricante
Caixas de Embutir;;;
Caixa de Luz e Tomada 4''x2'', de embutir, em PVC na cor amarelo para eletroduto corrugado;4''x2'';32;Tigre linha Tigreflex ou equivalente
Caixa octogonal 4''x4'' com fundo móvel, em PVC na cor amarela para eletroduto corrugado;4''x4'';8;Tigre linha Tigreflex ou equivalente
;;;
Campainha;;;
Conjunto montado com 1 Pulsador para campainha, ou equivalente, 10A 250V~, 4''x2'';1Puls., 4''x2'';1;Pial Legrand ou equivalente
;;;
Disjuntores e Proteções;;;
DPS - Disjuntor de proteção contra surtos, monopolar, tensão nominal de operação UO 220V, máxima tensão de operação continua UC= 275 V, corrente de descarga máxima= 5kA, fixação em trilho DIN 35mm;VCL 275V 15kA Slim;4;Steck ou equivalente
IDR Interruptor Diferencial Residual Tetrapolar In=25A, 30mA;In=25 A, 30mA;1;Steck ou equivalente
Mini Disjuntor Monopolar 10A Curva C, conforme ABNT NBR NM 60898, encaixe perfil DIN 35mm;C 10A;3;Steck ou equivalente
Mini Disjuntor Monopolar 16A Curva B, conforme ABNT NBR NM 60898, encaixe perfil DIN 35mm;B 16A;3;Steck ou equivalente
Mini Disjuntor Monopolar 20A Curva B, conforme ABNT NBR NM 60898, encaixe perfil DIN 35mm;B 20A;1;Steck ou equivalente
Mini Disjuntor Monopolar 40A Curva B, conforme ABNT NBR NM 60898, encaixe perfil DIN 35mm;B 40A;1;Steck ou equivalente
Mini Disjuntor Tripolar 20A Curva B, conforme ABNT NBR NM 60898, encaixe perfil DIN 35mm;B 20A;1;Steck ou equivalente
Mini Disjuntor Tripolar 25A Curva B, conforme ABNT NBR NM 60898, encaixe perfil DIN 35mm;B 25A;1;Steck ou equivalente
;;;
Interruptores;;;
Conjunto montado com 1 Interruptor Simples, 10A 250V~, 4''x2'';1S, 4''x2'';3;Pial Legrand ou equivalente
Conjunto montado de Interruptor com 3 teclas simples, 4''x2'';3xS, 4''x2'';1;Pial Legrand ou equivalente
;;;
Interruptores + Tomadas;;;
Conjunto montado de 1 Interruptor Simples + 1 Tomada 2P+T, 10A, 4''x2'';1S+1Tom.10A, 4''x2'';2;Pial Legrand ou equivalente
;;;
Quadros;;;
Quadro de Distribuição 18/24 Disjuntores, de embutir, fabricado em PVC antichamas, com barramento de terra e neutro, porta branca, dimensões 350x379x78,7mm.;18/24 Disjuntores;1;Tigre ou equivalente
;;;
Tomadas;;;
Conjunto montado de 1 Tomada 2P+T, 10A, posto horizontal, 4''x2'';10A, 4''x2'';14;Pial legrand ou equivalente
Conjunto montado de 1 Tomada 2P+T, 20A, posto horizontal, vermelha, 4''x2'';20A, 4''x2'';3;Pial legrand ou equivalente
Conjunto montado de 2 Tomadas 2P+T, 10A, postos horizontais, 4''x2'';2x10A, 4''x2'';8;Pial Legrand ou equivalente
